originalTitle,rating,startYear,runtimeMinutes,awardWins,numVotes,totalImages,totalCredits,titleType,AwNmExWins,canHaveEpisodes,isRatable,isAdult,numRegions,ratingCount,countryOfOrigin,genres,ratingMean,ReviewsTotal
Nancy Drew,"(5, 6]",2007,99,0,21748,87,326,movie,7,False,True,False,29,21750,['US'],"Comedy,Crime,Family",5.5,198
"Lies, Amplifiers, Fucking Twitter","(8, 9]",2018,40,0,1982,6,278,tvEpisode,0,False,True,False,1,1983,['US'],"Crime,Drama,Mystery",8.5,9
Mam'zelle Nitouche,"(5, 6]",1931,106,0,79,3,41,movie,0,False,True,False,7,79,"['FR', 'DE']","Comedy,Musical",5.5,4
Conquering Northern China,"(8, 9]",2017,53,0,503,2,82,tvSeries,0,True,True,False,2,503,['GB'],"Adventure,Documentary",8.5,70
Seeing Green,"(7, 8]",1999,60,0,186,1,128,tvEpisode,0,False,True,False,1,186,['US'],"Comedy,Drama,Fantasy",7.5,1
Hostage,"(8, 9]",2006,40,0,50,1,138,tvEpisode,0,False,True,False,1,50,['US'],"Crime,Drama,Mystery",8.5,1
Heart and Greed,"(6, 7]",2017,43,0,19,23,15,tvSeries,0,True,True,False,4,19,['HK'],Drama,6.5,0
Demon Prom,"(5, 6]",2017,10,0,97,2,114,tvEpisode,0,False,True,False,1,98,['US'],"Action,Adventure,Animation",5.5,0
Space Cases,"(7, 8]",1996,30,0,971,8,148,tvSeries,1,True,True,False,8,971,['CA'],"Comedy,Family,Sci-Fi",7.5,28
Pool Toys,"(8, 9]",1994,40,0,173,1,20,tvEpisode,0,False,True,False,1,173,['US'],"Animation,Comedy,Music",8.5,1
Danger at Ocean Deep,"(6, 7]",1966,49,0,135,2,48,tvEpisode,0,False,True,False,1,135,['GB'],"Action,Adventure,Family",6.5,2
The Rite of Holmgang,"(8, 9]",2019,13,1,17,9,21,short,1,False,True,False,1,17,['AU'],"Action,Short",8.5,1
En Büyük Yumruk,"(5, 6]",1983,76,0,225,2,45,movie,0,False,True,False,3,225,['TR'],"Action,Comedy,Crime",5.5,5
"Signed, Sealed, Delivered: Lost Without You","(7, 8]",2016,84,0,1086,48,141,tvMovie,4,False,True,False,5,1087,['CA'],Drama,7.5,8
El diablo en persona,"(7, 8]",1982,105,0,20,12,29,movie,0,False,True,False,1,20,['MX'],"Comedy,Drama,Romance",7.5,0
Arctic Mission: The Great Adventure,"(7, 8]",2003,384,1,19,0,13,video,0,False,True,False,2,19,['CA'],Documentary,7.5,0
The Sno Cone Stand Inc,"(6, 7]",2008,91,0,48,4,200,movie,0,False,True,False,1,48,['US'],Comedy,6.5,3
Basic Plumbing II,"(6, 7]",1998,71,0,24,0,12,video,0,False,True,True,1,24,['US'],Adult,6.5,0
Over the Moon,"(5, 6]",1939,78,0,311,8,51,movie,0,False,True,False,14,311,['GB'],Comedy,5.5,15
Noel por Noel,"(6, 7]",1981,10,0,40,1,3,short,0,False,True,False,2,40,['BR'],"Documentary,Short",6.5,0
S zakrytymi oknami,"(7, 8]",2019,114,0,86,12,20,tvMovie,0,False,True,False,1,86,['RU'],"Biography,Documentary",7.5,0
Chapter 10,"(7, 8]",2005,23,0,30,2,51,tvEpisode,0,False,True,False,1,30,['JP'],"Animation,Comedy,Drama",7.5,0
The Lady in Red,"(5, 6]",1935,7,0,198,5,24,short,0,False,True,False,1,198,['US'],"Animation,Comedy,Family",5.5,4
Burial of the 'Maine' Victims,"(3, 4]",1898,2,0,128,1,2,short,0,False,True,False,1,128,['US'],"Documentary,News,Short",3.5,2
First Winter,"(6, 7]",1981,27,0,157,1,38,short,1,False,True,False,1,157,['CA'],"Drama,History,Short",6.5,3
The Big Stink,"(5, 6]",1992,40,0,8,0,79,tvEpisode,0,False,True,False,1,8,['US'],Comedy,5.5,0
Guet Apens,"(5, 6]",2017,48,0,6,0,43,tvEpisode,0,False,True,False,1,6,['FR'],"Comedy,Crime,Drama",5.5,0
"Vnimaniye, tsunami!","(4, 5]",1969,82,0,30,1,38,movie,0,False,True,False,2,30,['SUHH'],"Adventure,Drama",4.5,0
Sandhya Deeper Sikha,"(7, 8]",1964,123,0,17,1,79,movie,0,False,True,False,1,17,['IN'],"Family,War",7.5,2
Christmas on the Farm,"(5, 6]",2021,81,0,1032,31,120,tvMovie,0,False,True,False,17,1035,['AU'],"Comedy,Drama,Romance",5.5,30
Cara Fi,"(7, 8]",2014,53,0,29,2,44,tvSeries,1,True,True,False,3,29,['GB'],"Comedy,Drama,Romance",7.5,1
Bangaru Bullodu,"(5, 6]",1993,92,0,147,1,9,movie,0,False,True,False,1,147,['IN'],"Action,Drama,Romance",5.5,0
Licem u lice u Napulju,"(6, 7]",1983,72,0,5,0,34,tvMovie,0,False,True,False,1,5,['XYU'],Drama,6.5,0
T.H.E. Cat,"(8, 9]",1966,30,0,298,26,199,tvSeries,0,True,True,False,8,298,['US'],"Adventure,Drama",8.5,30
Marked,"(7, 8]",2021,12,0,33,1,36,short,1,False,True,False,1,33,['US'],"Drama,Short",7.5,3
Timur i yego kommandos,"(3, 4]",2004,100,0,17,0,11,movie,0,False,True,False,1,17,['RU'],Family,3.5,0
Blood and Circuses,"(7, 8]",2010,48,0,344,12,120,tvEpisode,0,False,True,False,1,344,['CA'],"Crime,Drama,Mystery",7.5,1
Thunivu,"(6, 7]",2023,146,0,29683,17,120,movie,1,False,True,False,17,29698,['IN'],"Action,Crime,Drama",6.5,174
A Hit with a Miss,"(6, 7]",1945,16,0,67,3,27,short,0,False,True,False,1,67,['US'],"Comedy,Short",6.5,6
Potra,"(9, 10]",2021,79,0,10,5,18,movie,0,False,True,False,1,10,['IN'],Drama,9.5,1
Ciel mon mardi!,"(5, 6]",1988,100,0,25,4,200,tvSeries,0,True,True,False,1,25,['FR'],"Comedy,Talk-Show",5.5,0
Un matrimonio interplanetario,"(6, 7]",1910,15,0,72,2,2,short,0,False,True,False,6,72,['IT'],"Animation,Sci-Fi,Short",6.5,4
The Half-Back of Notre Dame,"(5, 6]",1924,20,0,69,3,25,short,0,False,True,False,2,69,['US'],"Comedy,Short",5.5,4
Petya-petushok,"(4, 5]",1960,9,0,12,2,8,short,0,False,True,False,5,12,['SUHH'],"Animation,Short",4.5,0
Joe's Night Out,"(6, 7]",1986,23,0,55,0,150,tvEpisode,0,False,True,False,1,55,['US'],"Action,Adventure,Animation",6.5,0
L'amico d'infanzia,"(5, 6]",1994,100,0,137,1,65,movie,0,False,True,False,7,137,['IT'],"Horror,Thriller",5.5,2
Doloy styd!,"(6, 7]",1994,95,1,17,6,25,movie,1,False,True,False,2,17,['UA'],Drama,6.5,0
Counterfire,"(7, 8]",1986,46,0,97,2,60,tvEpisode,0,False,True,False,1,97,['US'],"Action,Crime,Drama",7.5,1
Oglum Bak Git,"(1, 2]",2012,97,0,2041,41,38,movie,0,False,True,False,4,2041,"['TR', 'CA', 'FR', 'AL']",Comedy,1.5,2
Crossover,"(6, 7]",1985,48,0,102,11,73,tvEpisode,0,False,True,False,1,102,['US'],"Action,Adventure,Sci-Fi",6.5,1
I due pericoli pubblici,"(5, 6]",1964,90,0,76,3,38,movie,0,False,True,False,5,76,['IT'],"Adventure,Comedy",5.5,1
Dalavereciler Krali,"(7, 8]",1955,92,0,8,1,15,movie,0,False,True,False,1,8,['TR'],"Adventure,Comedy",7.5,0
My Daughter's Boyfriend 8,"(8, 9]",2013,71,0,10,0,12,video,0,False,True,True,1,10,['CA'],"Adult,Romance",8.5,2
Fatal Obsession: Part 2,"(7, 8]",1991,60,0,76,1,97,tvEpisode,0,False,True,False,1,76,['US'],"Action,Crime,Drama",7.5,1
Nothing to Fear,"(6, 7]",2002,40,0,64,11,59,tvEpisode,0,False,True,False,1,64,['CA'],"Action,Adventure,Drama",6.5,0
The Most Amazing Man,"(8, 9]",1962,40,0,166,1,32,tvEpisode,0,False,True,False,1,166,['US'],"Family,Western",8.5,5
Shakespeare in Love and on Film,"(7, 8]",1999,22,0,48,0,92,tvMovie,0,False,True,False,2,48,['US'],Documentary,7.5,0
The Story of Three Loves,"(6, 7]",1953,122,0,1526,64,104,movie,1,False,True,False,25,1526,['US'],"Drama,Fantasy,Music",6.5,39
Saint Russell,"(8, 9]",1997,40,0,12,0,51,tvEpisode,0,False,True,False,1,12,['US'],Drama,8.5,0
Hanasareru Gang,"(6, 7]",1984,86,0,10,0,4,movie,0,False,True,False,1,10,['JP'],Crime,6.5,0
Inch by Inch,"(7, 8]",1985,92,1,56,0,19,movie,1,False,True,True,1,56,['US'],Adult,7.5,0
Gumball 3000,"(6, 7]",2009,53,0,30,3,28,tvSeries,0,True,True,False,2,30,['US'],"Action,Reality-TV",6.5,0
24 heures d'amour,"(4, 5]",1998,95,0,12,0,20,video,0,False,True,True,1,12,['FR'],Adult,4.5,0
Dzhonni,"(5, 6]",2023,101,0,30,1,17,movie,0,False,True,False,1,30,['RU'],"Comedy,Music",5.5,0
Breezing Home,"(5, 6]",1937,64,0,22,3,62,movie,0,False,True,False,5,22,['US'],"Crime,Drama,Music",5.5,1
Piège à flics,"(4, 5]",1986,40,0,9,1,72,tvEpisode,0,False,True,False,1,9,"['FR', 'IT', 'CA', 'CH']","Crime,Thriller",4.5,1
Norville and Trudy,"(8, 9]",1997,92,0,16,1,18,movie,0,False,True,False,2,16,['US'],"Comedy,Family,Sci-Fi",8.5,0
God & the Hitman,"(5, 6]",1999,92,0,10,0,13,movie,0,False,True,False,1,10,['US'],"Drama,Thriller",5.5,0
Die Reisetasche,"(7, 8]",1967,75,0,11,0,33,tvEpisode,0,False,True,False,1,11,['XWG'],"Crime,Drama",7.5,0
White Lady,"(6, 7]",1987,40,0,13,1,26,tvEpisode,0,False,True,False,1,13,['GB'],Drama,6.5,1
Decision at Gunsight,"(8, 9]",1957,60,0,96,42,35,tvEpisode,0,False,True,False,1,96,['US'],Western,8.5,4
The Captain,"(7, 8]",2011,22,0,386,1,93,tvEpisode,0,False,True,False,1,386,['US'],"Comedy,Sport",7.5,1
Na spine u chyornogo kota,"(4, 5]",2008,92,0,9,1,10,movie,0,False,True,False,2,9,['BY'],Comedy,4.5,0
David,"(6, 7]",2013,155,0,2867,10,189,movie,0,False,True,False,4,2867,['IN'],"Action,Crime,Drama",6.5,43
The Evening Redness in the South,"(8, 9]",2019,92,23,13,11,21,movie,5,False,True,False,1,13,['IE'],Drama,8.5,18
Man: One Family,"(4, 5]",1946,17,0,7,1,8,short,0,False,True,False,1,7,['GB'],"Documentary,Short",4.5,0
Suits: A Business RPG,"(6, 7]",2016,28,0,5,1,8,videoGame,0,False,True,False,1,5,['US'],"Adventure,Comedy,Horror",6.5,0
Aaru Sundarimaarude Katha,"(4, 5]",2013,150,0,33,1,37,movie,0,False,True,False,1,33,['IN'],Drama,4.5,0
Episode #1.7,"(7, 8]",2016,65,0,23,2,16,tvEpisode,0,False,True,False,7,23,['KR'],"Comedy,Romance",7.5,0
Nokketha Dhoorathu Kannum Nattu,"(7, 8]",1984,130,0,442,3,16,movie,0,False,True,False,1,442,['IN'],Drama,7.5,5
Stairs to No End,"(7, 8]",2011,7,0,14,2,16,short,0,False,True,False,1,14,['IL'],"Animation,Drama,Short",7.5,1
Professional Wrestling: Tricks of the Trade,"(6, 7]",2002,81,0,11,0,17,tvMovie,0,False,True,False,1,11,['US'],Sport,6.5,0
Picnic at Hanging Rock Team Challenge,"(6, 7]",2019,40,0,12,1,36,tvEpisode,0,False,True,False,1,12,['AU'],"Game-Show,Reality-TV",6.5,0
The French Double,"(8, 9]",2005,18,0,13,0,27,short,0,False,True,False,1,13,['US'],Short,8.5,1
A Passage to England,"(7, 8]",1975,81,0,37,2,19,tvEpisode,0,False,True,False,1,37,['GB'],"Comedy,Drama",7.5,2
Chapter Seven,"(7, 8]",2012,44,0,111,6,154,tvEpisode,0,False,True,False,1,111,['CA'],"Action,Crime,Drama",7.5,1
The Beyoncé Experience: Live,"(8, 9]",2007,130,0,452,1,55,video,0,False,True,False,2,452,['US'],"Music,Musical",8.5,0
Credible Witness,"(7, 8]",1993,40,0,43,13,29,tvEpisode,0,False,True,False,1,43,['GB'],"Crime,Drama",7.5,1
Last Rumba in Paris,"(5, 6]",1989,81,0,15,0,31,movie,0,False,True,True,1,15,"['US', 'FR']","Adult,Drama,Romance",5.5,1
Shkola muzhestva,"(6, 7]",1954,92,0,45,3,50,movie,0,False,True,False,8,45,['SUHH'],"Adventure,Drama,War",6.5,0
Road Kill,"(8, 9]",1988,60,0,125,1,80,tvEpisode,0,False,True,False,1,125,['US'],"Crime,Drama,Mystery",8.5,1
Man kan alltid fiska,"(6, 7]",1995,30,0,5,1,22,short,0,False,True,False,3,5,['SE'],"Drama,Short",6.5,0
Only Against All,"(6, 7]",1981,22,0,18,0,46,tvEpisode,0,False,True,False,1,18,['JP'],"Adventure,Animation",6.5,0
Épisode 4,"(6, 7]",2021,53,0,9,0,76,tvEpisode,0,False,True,False,1,9,['FR'],Drama,6.5,0
Ys VIII: Lacrimosa of Dana,"(7, 8]",2016,28,0,121,2,73,videoGame,0,False,True,False,1,121,['JP'],"Action,Adventure,Fantasy",7.5,2
Buoc Nhay Xì Tin,"(8, 9]",2009,53,0,9,1,11,tvSeries,0,True,True,False,2,10,['VN'],"Drama,Music",8.5,0
Gakidama,"(5, 6]",1985,54,0,197,1,15,video,0,False,True,False,8,199,['JP'],"Horror,Sci-Fi",5.5,10
Hyperion Bay,"(6, 7]",1998,60,0,157,2,151,tvSeries,1,True,True,False,6,157,['US'],Drama,6.5,7
Shaman Wol - Moon,"(8, 9]",2012,40,0,36,4,30,tvEpisode,0,False,True,False,1,36,['KR'],"Drama,Fantasy,Romance",8.5,0
Playboy: Women of South Beach - Resorts,"(6, 7]",1996,55,0,24,1,81,video,0,False,True,False,3,24,['US'],Documentary,6.5,2
Touha zvaná Anada,"(6, 7]",1971,108,1,223,108,66,movie,1,False,True,False,17,224,['CSHH'],Drama,6.5,12
Planet Z,"(5, 6]",2011,13,1,24,0,15,short,3,False,True,False,2,24,['FR'],Short,5.5,0
Advance Wars,"(7, 8]",2001,28,1,176,2,37,videoGame,0,False,True,False,1,176,['JP'],"Action,Adventure,War",7.5,3
Kein gutes Ende,"(7, 8]",1988,59,0,23,1,42,tvEpisode,0,False,True,False,1,23,['XWG'],"Crime,Drama,Thriller",7.5,1
Episode dated 3 March 1972,"(7, 8]",1972,90,0,31,0,21,tvEpisode,0,False,True,False,7,31,['US'],"Comedy,Talk-Show",7.5,0
Episode #1.17,"(7, 8]",2001,40,0,9,0,15,tvEpisode,0,False,True,False,7,9,['TW'],"Comedy,Drama,Romance",7.5,0
Under the Big Top,"(5, 6]",1938,64,0,85,6,28,movie,0,False,True,False,6,85,['US'],"Action,Drama,Romance",5.5,7
Interview with a Werewolf,"(7, 8]",1999,40,0,22,0,37,tvEpisode,0,False,True,False,1,22,['CA'],"Action,Comedy,Horror",7.5,0
Ander,"(8, 9]",2020,51,0,1442,3,134,tvEpisode,0,False,True,False,1,1442,['ES'],"Crime,Drama,Thriller",8.5,2
Miracle on 134th Street: Part 1,"(7, 8]",1990,40,0,30,1,84,tvEpisode,0,False,True,False,1,30,['US'],Comedy,7.5,0
Putravati,"(3, 4]",1996,124,0,8,9,17,movie,0,False,True,False,1,8,['IN'],Drama,3.5,0
Wild Wild Punjab,"(6, 7]",2024,109,0,14873,5,155,movie,0,False,True,False,12,14895,['IN'],"Comedy,Romance",6.5,108
Godlike Gaming,"(8, 9]",2021,53,0,6,10,25,tvSeries,0,True,True,False,1,6,['US'],Comedy,8.5,0
'Tis Pity She's a Whore,"(6, 7]",1980,135,0,33,2,24,tvMovie,0,False,True,False,1,33,['GB'],Drama,6.5,0
Duo,"(8, 9]",2015,13,0,9,1,5,short,0,False,True,False,1,9,['IN'],"Drama,Family,Musical",8.5,0
Zu hoch zu Ross,"(7, 8]",2014,44,0,12,1,43,tvEpisode,0,False,True,False,1,12,['DE'],"Comedy,Crime",7.5,0
Long Fliv the King,"(6, 7]",1926,22,0,198,9,20,short,0,False,True,False,3,198,['US'],"Comedy,Short",6.5,10
Melodifestivalen 1990,"(5, 6]",1990,107,0,16,1,9,tvSpecial,0,False,True,False,1,16,['SE'],Music,5.5,0
The Wrong Girl,"(6, 7]",2016,60,2,799,9,251,tvSeries,4,True,True,False,10,799,['AU'],"Comedy,Drama,Romance",6.5,6
Une saison sans popcorn,"(6, 7]",2008,92,0,10,1,14,movie,0,False,True,False,2,10,['FR'],Documentary,6.5,2
Puyo Puyo 2,"(6, 7]",1994,28,0,11,4,2,videoGame,0,False,True,False,2,11,['JP'],"Adventure,Comedy,Family",6.5,0
Sanne,"(8, 9]",1983,53,0,9,0,17,tvSeries,0,True,True,False,1,9,['NL'],Drama,8.5,0
Robin,"(5, 6]",2017,92,0,90,2,65,movie,0,False,True,False,4,90,"['DK', 'SE']","Mystery,Thriller",5.5,3
Fanny la fan,"(6, 7]",2017,53,0,20,2,37,tvSeries,0,True,True,False,1,20,['AR'],"Comedy,Romance",6.5,0
Said Klakait,"(4, 5]",2014,92,0,73,1,10,movie,0,False,True,False,1,73,['EG'],Comedy,4.5,0
O exypnakias,"(6, 7]",1966,98,0,252,3,40,movie,0,False,True,False,4,252,['GR'],Comedy,6.5,0
Law of Sin,"(6, 7]",2014,87,0,7,1,15,movie,0,False,True,False,2,7,['US'],"Action,Drama,Music",6.5,1
Episode #1.163,"(6, 7]",1999,60,0,10,1,21,tvEpisode,0,False,True,False,7,10,['AR'],"Comedy,Drama,Romance",6.5,0
No One Rides for Free,"(7, 8]",2017,21,0,151,1,118,tvEpisode,0,False,True,False,1,151,['US'],"Action,Adventure,Comedy",7.5,1
Die Insel der Verschollenen,"(4, 5]",1921,92,0,68,9,20,movie,0,False,True,False,2,68,['DE'],"Fantasy,Horror,Sci-Fi",4.5,5
Lyin' Eyes,"(7, 8]",2006,41,0,12,0,106,tvEpisode,0,False,True,False,1,12,"['US', 'DE']","Crime,Drama,Thriller",7.5,0
Elf,"(5, 6]",1999,13,0,15,0,15,short,0,False,True,False,1,15,['BE'],Short,5.5,0
Life in Darkness,"(8, 9]",2014,12,0,10,1,60,short,0,False,True,False,1,10,['US'],"Drama,Short,Thriller",8.5,0
Aliens from Spaceship Earth,"(5, 6]",1977,70,0,66,4,41,movie,0,False,True,False,3,66,['US'],"Documentary,Sci-Fi",5.5,3
The Bomb Idea,"(5, 6]",1920,4,0,75,0,5,short,0,False,True,False,1,75,['US'],"Animation,Short",5.5,0
Episode #14.64,"(8, 9]",1997,40,0,9,0,10,tvEpisode,0,False,True,False,7,9,['US'],Game-Show,8.5,0
One Time,"(4, 5]",2020,13,0,7,1,10,short,0,False,True,False,1,7,['IN'],"Romance,Short",4.5,0
Qi cai ka tong Lao Fu Zi,"(6, 7]",1981,80,0,27,3,16,movie,0,False,True,False,6,27,['HK'],"Animation,Comedy",6.5,0
Shoto Todoroki: Origin,"(9, 10]",2017,40,0,4293,67,89,tvEpisode,0,False,True,False,1,4310,['JP'],"Action,Adventure,Animation",9.5,7
Ishk Par Zor Nahi,"(7, 8]",2021,53,2,1496,11,60,tvSeries,0,True,True,False,2,1496,['IN'],Drama,7.5,91
Episode #4.19,"(8, 9]",1999,40,0,36,13,59,tvEpisode,0,False,True,False,7,36,['US'],Comedy,8.5,0
Myth,"(8, 9]",2018,63,3,158,9,13,movie,3,False,True,False,7,158,['UA'],"Biography,Documentary",8.5,2
Rock Star,"(6, 7]",1995,40,0,21,0,55,tvEpisode,0,False,True,False,1,21,['US'],Comedy,6.5,0
Keiraku no hoteishiki Level-C,"(3, 4]",1995,30,0,14,1,33,video,0,False,True,True,3,14,['JP'],"Adult,Animation,Drama",3.5,1
American Sniper,"(7, 8]",2014,133,24,538096,477,869,movie,43,False,True,False,54,538339,['US'],"Action,Biography,Drama",7.5,1672
Anjelah Johnson: The Homecoming Show,"(6, 7]",2013,60,0,312,1,15,tvSpecial,0,False,True,False,1,312,['US'],"Comedy,Documentary",6.5,3
Fort Bowie: Urgent,"(7, 8]",1962,25,0,25,1,12,tvEpisode,0,False,True,False,1,25,['US'],Western,7.5,0
A Cry for Help,"(8, 9]",1971,50,0,137,1,40,tvEpisode,0,False,True,False,1,137,['GB'],Drama,8.5,5
O Mundo Em Duas Voltas,"(7, 8]",2007,92,2,240,6,120,movie,5,False,True,False,3,240,['BR'],Documentary,7.5,4
Need for Speed: High Stakes,"(7, 8]",1999,28,0,566,3,23,videoGame,0,False,True,False,8,566,['CA'],"Action,Crime,Sport",7.5,1
Voy por ti,"(5, 6]",2019,84,4,11,4,42,movie,0,False,True,False,4,11,['VE'],Drama,5.5,2
Nos belles-soeurs,"(6, 7]",2024,105,0,95,30,80,movie,6,False,True,False,8,96,['CA'],Musical,6.5,4
A River Runs Through It... It Being Egypt,"(7, 8]",2009,45,0,85,1,161,tvEpisode,0,False,True,False,1,85,['CA'],"Adventure,Comedy,Drama",7.5,1
Dinner with the Parents,"(5, 6]",2024,53,0,434,1,142,tvSeries,0,True,True,False,11,436,['US'],Comedy,5.5,28
How Beer Saved the World,"(7, 8]",2011,60,0,504,2,42,tvMovie,0,False,True,False,2,504,['US'],Documentary,7.5,7
The Real Story of...,"(8, 9]",2016,53,0,44,52,241,tvSeries,0,True,True,False,2,44,['GB'],Documentary,8.5,1
Bad Night in Big Butte,"(6, 7]",1972,60,0,71,1,38,tvEpisode,0,False,True,False,1,71,['US'],Western,6.5,0
Crisis,"(4, 5]",1997,95,0,138,4,165,movie,0,False,True,False,8,138,"['US', 'CA']","Action,Drama",4.5,8
Sayonara Maestro: Chichi to Watashi no Appassionato,"(8, 9]",2024,54,0,22,3,60,tvSeries,0,True,True,False,7,22,['JP'],"Comedy,Drama,Family",8.5,0
The Return of C.I.A,"(8, 9]",2021,53,0,7,10,16,tvSeries,0,True,True,False,1,7,['IE'],Action,8.5,0
"Du regelst das schon, Charlotte","(6, 7]",2020,8,0,10,5,13,tvEpisode,0,False,True,False,1,10,['DE'],"Comedy,Drama",6.5,0
Words of Advice,"(7, 8]",1992,40,0,38,60,67,tvEpisode,0,False,True,False,1,38,['GB'],"Crime,Drama",7.5,1
Episode #1.372,"(7, 8]",1967,23,0,56,1,16,tvEpisode,0,False,True,False,7,56,['US'],"Drama,Fantasy,Horror",7.5,2
Billy & Molly: An Otter Love Story,"(7, 8]",2024,77,0,1032,8,16,movie,2,False,True,False,13,1041,['US'],Documentary,7.5,24
The Constipation Situation,"(5, 6]",2018,23,0,122,1,94,tvEpisode,0,False,True,False,1,122,['US'],"Adventure,Animation,Comedy",5.5,0
Australian Muscle,"(7, 8]",2018,8,0,5,0,12,short,0,False,True,False,1,5,['AU'],"Comedy,Short",7.5,1
Eszkimó asszony fázik,"(6, 7]",1984,117,0,480,2,61,movie,1,False,True,False,8,481,['HU'],Drama,6.5,1
"Hades, vida despues de la muerte","(6, 7]",1993,85,0,32,3,34,video,0,False,True,False,2,32,['MX'],Fantasy,6.5,4
Audrey,"(5, 6]",2019,50,0,11,0,97,tvEpisode,0,False,True,False,1,11,['FR'],"Comedy,Drama",5.5,0
"Cut, Cap, Balance, and Boogie","(7, 8]",2011,60,0,23,10,29,tvEpisode,0,False,True,False,1,23,['US'],"Comedy,Music,Talk-Show",7.5,0
Senza Distanza,"(7, 8]",2018,73,0,27,2,15,movie,0,False,True,False,1,27,['IT'],"Comedy,Drama",7.5,2
D-Tox,"(5, 6]",2002,96,0,29847,54,411,movie,0,False,True,False,34,29851,"['DE', 'US']","Crime,Thriller",5.5,260
Book chon bang hyang,"(6, 7]",2011,92,3,2818,15,32,movie,5,False,True,False,16,2817,['KR'],"Comedy,Drama",6.5,64
Good Planets Are Hard to Find,"(8, 9]",2011,5,1,16,1,19,short,2,False,True,False,2,16,"['ZA', 'UA', 'IT']","Biography,Documentary,Sci-Fi",8.5,0
The Life of Guskou Budori,"(6, 7]",1994,85,0,28,1,21,movie,0,False,True,False,3,28,['JP'],"Animation,Drama,Family",6.5,0
Sorting Out the Versions,"(5, 6]",2007,12,0,12,0,5,video,0,False,True,False,1,12,['US'],"Documentary,Short",5.5,0
Sheriff of Medicine Bow,"(6, 7]",1948,55,0,40,24,34,movie,0,False,True,False,3,40,['US'],Western,6.5,2
Snova odin na vsekh,"(5, 6]",2014,176,0,10,15,74,tvMovie,0,False,True,False,2,10,['RU'],"Drama,Romance",5.5,0
Hur e Douragh,"(6, 7]",1983,75,1,20,1,9,movie,0,False,True,False,1,20,['IR'],Documentary,6.5,0
Through Glass,"(5, 6]",2007,71,0,19,5,13,video,0,False,True,False,4,19,['IL'],"Drama,Short",5.5,0
Caravane,"(5, 6]",1934,109,0,75,5,31,movie,0,False,True,False,11,75,"['FR', 'AT', 'US']",Musical,5.5,1
Rats Like Cheese,"(7, 8]",1966,25,0,630,15,68,tvEpisode,0,False,True,False,1,631,['US'],"Action,Crime,Fantasy",7.5,13
The Wrong Side of Where You Are Now,"(6, 7]",2018,42,0,2990,16,306,tvEpisode,0,False,True,False,1,2992,['US'],"Drama,Horror,Sci-Fi",6.5,35
Happy,"(5, 6]",1983,100,0,54,8,92,tvMovie,0,False,True,False,2,54,['US'],"Crime,Drama,Mystery",5.5,3
Fala Brasília,"(7, 8]",1966,13,0,16,2,3,short,0,False,True,False,3,16,['BR'],"Documentary,Short",7.5,2
Friendship's Death,"(6, 7]",1987,78,0,713,9,24,movie,0,False,True,False,7,715,['GB'],"Drama,Sci-Fi",6.5,19
The Lonely House,"(7, 8]",1961,40,0,143,8,44,tvEpisode,0,False,True,False,1,143,['US'],Western,7.5,1
Oorai Therunjukitten,"(7, 8]",1988,92,0,19,6,12,movie,0,False,True,False,1,19,['IN'],Comedy,7.5,0
Episode #6.23,"(5, 6]",2017,40,0,7,0,125,tvEpisode,0,False,True,False,7,7,['GB'],"Reality-TV,Romance",5.5,0
Het Spel,"(5, 6]",2014,13,0,25,3,23,short,0,False,True,False,2,25,['BE'],"Drama,Short",5.5,0
Comic Relief,"(7, 8]",1995,82,1,183,0,21,tvSpecial,0,False,True,False,1,183,['GB'],Comedy,7.5,0
Wild in the Sky,"(5, 6]",1972,87,0,76,5,33,movie,0,False,True,False,3,76,['US'],Comedy,5.5,9
El sistema solar,"(5, 6]",2017,95,0,77,1,35,movie,0,False,True,False,7,77,"['PE', 'ES']",Drama,5.5,2
Se zhong e gui,"(6, 7]",1975,87,0,36,1,35,movie,0,False,True,False,2,36,['HK'],"Horror,Mystery",6.5,2
Fashion Avenue with Jodie Kidd,"(9, 10]",2005,30,0,11,0,13,tvSeries,0,True,True,False,1,11,['GB'],Reality-TV,9.5,0
Sudar na paralelama,"(5, 6]",1961,80,0,59,2,48,movie,0,False,True,False,2,59,['XYU'],Drama,5.5,0
Gerry Throws the Game,"(5, 6]",2016,21,0,20,0,58,tvEpisode,0,False,True,False,1,20,['CA'],Comedy,5.5,0
Cuando los hijos regresan,"(5, 6]",2017,100,1,559,24,82,movie,2,False,True,False,6,559,['MX'],Comedy,5.5,2
White Christmas,"(8, 9]",2015,40,0,2262,14,135,tvEpisode,0,False,True,False,1,2266,['US'],"Comedy,Drama,Romance",8.5,8
Suns kurs prata dziedat,"(6, 7]",1991,140,0,11,2,29,movie,0,False,True,False,3,11,['SUHH'],Adventure,6.5,0
Pump Up the Panda,"(7, 8]",2016,22,0,10,1,39,tvEpisode,0,False,True,False,1,10,"['US', 'CA']","Adventure,Animation,Comedy",7.5,0
Far North,"(4, 5]",1988,90,0,768,23,212,movie,0,False,True,False,16,768,['US'],Drama,4.5,21
Vorona,"(5, 6]",1992,2,0,19,4,9,tvShort,0,False,True,False,6,19,['RU'],"Animation,Family,Short",5.5,0
Straight 8,"(6, 7]",2004,60,0,68,0,16,tvMovie,0,False,True,False,1,68,['GB'],"Comedy,Drama",6.5,1
